"","Product ID","Type","Air temperature [K]","Process temperature [K]","Rotational speed [rpm]","Torque [Nm]"
"292","L47470","L","298.1","308.4","1438","45.6"
"293","L47471","L","298.0","308.3","1473","42.6"
"294","L47472","L","298.1","308.4","1335","40.2"
"295","H29707","H","298.1","308.5","1392","44.8"
"296","M15154","M","298.1","308.5","1372","51.1"
"297","M15155","M","298.1","308.6","1716","30.7"
"298","L47476","L","298.0","308.5","1395","46.2"
"299","L47477","L","298.0","308.5","1713","25.3"
"300","H29712","H","297.9","308.5","2129","18.7"
"301","M15159","M","297.8","308.3","1567","35.6"
"302","L47480","L","297.8","308.4","1622","38.3"
"303","L47481","L","297.7","308.4","1740","27.1"
"304","H29716","H","297.8","308.4","1512","35.1"
"305","M15163","M","297.8","308.4","1479","43.5"
"306","L47484","L","297.8","308.4","1737","27.5"
"307","L47485","L","297.8","308.4","2129","19.2"
"308","L47486","L","297.8","308.4","1374","47.1"
"309","M15167","M","297.8","308.4","1579","36.6"
"310","L47488","L","297.9","308.5","1305","47.2"
"311","M15169","M","297.9","308.5","1449","40.8"
"312","H29724","H","298.0","308.6","1526","41.8"
"313","M15171","M","298.0","308.6","1453","44.1"
"314","L47492","L","297.9","308.6","1468","36.0"
"315","L47493","L","298.0","308.6","1313","50.8"
"316","M15174","M","297.9","308.5","1300","53.0"
"317","L47495","L","297.9","308.4","1646","40.6"
"318","L47496","L","297.8","308.4","1714","33.2"
"319","L47497","L","297.8","308.4","1685","28.4"
"320","L47498","L","297.8","308.4","1512","39.9"
"321","L47499","L","297.8","308.4","1612","32.1"
"322","H29734","H","297.8","308.4","1550","38.2"
"323","L47501","L","297.8","308.4","1518","32.5"
"324","L47502","L","297.8","308.5","1448","40.0"
"325","L47503","L","297.8","308.5","1561","46.3"
"326","M15184","M","297.8","308.5","1488","41.9"
"327","L47505","L","297.8","308.5","1699","27.8"
"328","L47506","L","297.7","308.5","1501","41.4"
"329","L47507","L","297.7","308.5","1373","56.7"
"330","H29742","H","297.6","308.4","1703","31.4"
"331","H29743","H","297.7","308.5","1720","29.9"
"332","M15190","M","297.6","308.4","1398","41.9"
"333","M15191","M","297.6","308.4","1391","51.9"
"334","M15192","M","297.6","308.3","1538","40.2"
"335","L47513","L","297.5","308.2","1647","31.3"
"336","M15194","M","297.5","308.1","1469","44.8"
"337","L47515","L","297.4","308.1","1749","25.9"
"338","M15196","M","297.6","308.2","1995","20.5"
"339","L47517","L","297.6","308.3","1742","27.7"
"340","L47518","L","297.5","308.2","1563","38.2"
"341","M15199","M","297.5","308.2","1713","32.2"
"342","L47520","L","297.4","308.1","1474","39.4"
"343","M15201","M","297.4","308.2","1530","32.6"
"344","L47522","L","297.4","308.2","1471","46.5"
"345","L47523","L","297.5","308.3","1388","48.6"
"346","M15204","M","297.5","308.2","2448","13.8"
"347","L47525","L","297.5","308.3","1585","32.9"
"348","M15206","M","297.5","308.3","1459","45.2"
"349","L47527","L","297.5","308.3","1544","40.8"
"350","L47528","L","297.6","308.3","1617","31.7"
"351","L47529","L","297.6","308.3","1595","34.3"
"352","H29764","H","297.6","308.3","1400","44.3"
"353","M15211","M","297.6","308.4","1611","31.0"
"354","M15212","M","297.6","308.4","1507","46.0"
"355","H29767","H","297.5","308.3","1674","30.0"
"356","L47534","L","297.6","308.3","1658","34.3"
"357","L47535","L","297.6","308.3","1623","36.9"
"358","M15216","M","297.6","308.4","1398","48.9"
"359","L47537","L","297.6","308.4","1517","34.2"
"360","M15218","M","297.6","308.3","1467","36.7"
"361","M15219","M","297.6","308.3","1567","34.6"
"362","M15220","M","297.5","308.3","1521","38.2"
"363","L47541","L","297.5","308.3","1596","36.8"
"364","H29776","H","297.6","308.3","1640","30.9"
"365","L47543","L","297.6","308.3","1438","47.8"
"366","L47544","L","297.6","308.4","1407","55.2"
"367","L47545","L","297.6","308.4","1353","57.5"
"368","M15226","M","297.6","308.5","1552","40.9"
"369","M15227","M","297.6","308.4","1569","38.3"
"370","L47548","L","297.5","308.4","1489","39.5"
"371","H29783","H","297.5","308.4","1587","36.1"
"372","M15230","M","297.5","308.3","1622","37.2"
"373","L47551","L","297.5","308.4","1604","38.1"
"374","M15232","M","297.4","308.3","1405","51.7"
"375","L47553","L","297.4","308.3","1412","42.0"
"376","L47554","L","297.4","308.3","1431","43.0"
"377","L47555","L","297.4","308.2","1533","37.4"
"378","M15236","M","297.4","308.2","1401","51.9"
"379","M15237","M","297.4","308.2","1424","53.9"
"380","L47558","L","297.3","308.2","1754","29.4"
"381","L47559","L","297.3","308.2","1754","26.8"
"382","L47560","L","297.5","308.3","2564","12.8"
"383","L47561","L","297.5","308.5","1546","40.4"
"384","L47562","L","297.5","308.5","1335","48.0"
"385","M15243","M","297.5","308.6","1842","27.0"
"386","L47564","L","297.5","308.5","1712","26.8"
"387","M15245","M","297.6","308.6","1414","45.4"
"388","L47566","L","297.6","308.7","1319","50.9"
"389","L47567","L","297.7","308.7","1249","60.4"
"390","L47568","L","297.6","308.7","1455","48.2"
"391","M15249","M","297.6","308.7","1408","54.8"
"392","L47570","L","297.6","308.7","1460","46.7"
"393","L47571","L","297.6","308.6","1491","38.1"
"394","M15252","M","297.6","308.5","1490","43.4"
"395","M15253","M","297.5","308.4","1350","52.2"
"396","L47574","L","297.5","308.4","1528","39.9"
"397","L47575","L","297.4","308.3","1571","37.7"
"398","L47576","L","297.4","308.3","1490","42.6"
"399","M15257","M","297.4","308.3","1774","28.9"
"400","H29812","H","297.4","308.3","1502","43.6"
"401","L47579","L","297.4","308.4","1392","49.7"
"402","L47580","L","297.4","308.5","2100","16.9"
"403","L47581","L","297.5","308.5","1722","30.4"
"404","L47582","L","297.4","308.6","1678","32.3"
"405","L47583","L","297.3","308.6","1273","59.8"
"406","L47584","L","297.3","308.6","1297","45.9"
"407","L47585","L","297.3","308.5","1350","57.6"
"408","L47586","L","297.4","308.6","1439","51.9"
"409","M15267","M","297.4","308.5","1600","42.1"
"410","M15268","M","297.4","308.6","1434","44.4"
"411","L47589","L","297.4","308.6","1459","41.3"
"412","M15270","M","297.5","308.6","1472","44.9"
"413","L47591","L","297.5","308.7","1429","44.3"
"414","L47592","L","297.5","308.6","1388","48.2"
"415","L47593","L","297.4","308.4","1573","34.5"
"416","L47594","L","297.4","308.4","1588","32.5"
"417","L47595","L","297.5","308.4","1511","42.8"
"418","L47596","L","297.4","308.5","1495","37.8"
"419","L47597","L","297.4","308.4","1394","50.1"
"420","L47598","L","297.4","308.4","2151","17.7"
"421","M15279","M","297.3","308.3","1501","38.2"
"422","M15280","M","297.3","308.3","1301","39.6"
"423","M15281","M","297.3","308.3","1657","31.1"
"424","L47602","L","297.3","308.3","1333","55.2"
"425","L47603","L","297.3","308.3","1484","43.9"
"426","L47604","L","297.3","308.4","1430","45.7"
"427","M15285","M","297.3","308.4","1665","28.9"
"428","L47606","L","297.4","308.5","1501","44.9"
"429","M15287","M","297.5","308.5","1496","42.2"
"430","M15288","M","297.6","308.6","1595","36.9"
"431","L47609","L","297.5","308.6","1208","62.3"
"432","L47610","L","297.5","308.6","1596","37.1"
"433","L47611","L","297.5","308.5","1446","41.9"
"434","M15292","M","297.6","308.5","1466","39.7"
"435","M15293","M","297.6","308.5","1848","23.7"
"436","M15294","M","297.5","308.5","1484","44.7"
"437","L47615","L","297.4","308.3","1493","41.2"
"438","L47616","L","297.3","308.3","1504","36.3"
"439","L47617","L","297.3","308.3","1538","38.5"
"440","L47618","L","297.4","308.4","1341","52.2"
"441","M15299","M","297.4","308.3","1535","34.6"
"442","L47620","L","297.4","308.5","1389","39.2"
"443","H29855","H","297.5","308.5","1393","46.6"
"444","L47622","L","297.4","308.5","1399","61.5"
"445","H29857","H","297.4","308.5","1469","45.1"
"446","L47624","L","297.4","308.4","1582","37.2"
"447","L47625","L","297.5","308.6","1793","26.7"
"448","L47626","L","297.5","308.6","1452","39.0"
"449","M15307","M","297.6","308.7","1376","59.9"
"450","L47628","L","297.5","308.6","1552","44.9"
"451","L47629","L","297.6","308.7","1622","37.9"
"452","M15310","M","297.6","308.7","1419","41.7"
"453","H29865","H","297.5","308.6","1440","46.1"
"454","M15312","M","297.4","308.6","1643","31.0"
"455","L47633","L","297.4","308.7","1510","36.2"
"456","L47634","L","297.4","308.7","1468","46.6"
"457","L47635","L","297.4","308.7","1429","57.4"
"458","H29870","H","297.3","308.7","1478","47.6"
"459","L47637","L","297.4","308.6","1276","53.6"
"460","L47638","L","297.3","308.6","1486","42.6"
"461","L47639","L","297.4","308.6","1476","42.3"
"462","H29874","H","297.3","308.6","1431","42.0"
"463","L47641","L","297.4","308.7","1402","40.2"
"464","L47642","L","297.4","308.7","1433","43.4"
"465","L47643","L","297.4","308.7","2874","4.2"
"466","L47644","L","297.3","308.6","1511","35.7"
"467","M15325","M","297.3","308.6","1456","42.9"
"468","L47646","L","297.2","308.5","1550","41.5"
"469","L47647","L","297.2","308.5","2182","16.5"
"470","L47648","L","297.3","308.7","1619","31.6"
"471","M15329","M","297.3","308.8","1586","32.7"
"472","H29884","H","297.3","308.8","1499","44.2"
"473","H29885","H","297.3","308.8","1419","42.4"
"474","M15332","M","297.4","309","1497","41.8"
"475","M15333","M","297.4","309","1520","37.0"
"476","L47654","L","297.4","309.1","1478","49.8"
"477","L47655","L","297.4","309.1","1380","41.1"
"478","L47656","L","297.4","309","1570","37.9"
"479","H29891","H","297.4","309","1468","41.4"
"480","L47658","L","297.4","309","1833","22.6"
"481","M15339","M","297.4","308.9","1323","57.3"
"482","L47660","L","297.4","309","1583","32.0"
"483","M15341","M","297.3","309","1556","39.5"
"484","L47662","L","297.3","309","1548","37.4"
"485","L47663","L","297.4","309","1324","56.9"
"486","L47664","L","297.4","309","1568","33.7"
"487","M15345","M","297.4","309","1685","30.7"
"488","M15346","M","297.4","309.1","1582","35.9"
"489","M15347","M","297.4","309.1","1463","35.0"
"490","L47668","L","297.4","309.2","1584","42.8"
"491","M15349","M","297.5","309.2","1347","55.8"
"492","L47670","L","297.4","309.2","1459","37.9"
"493","L47671","L","297.4","309.2","1420","45.6"
"494","L47672","L","297.5","309.3","1404","43.5"
"495","L47673","L","297.5","309.3","1470","38.8"
"496","L47674","L","297.6","309.4","1326","49.8"
"497","H29909","H","297.5","309.3","1459","49.7"
"498","M15356","M","297.5","309.2","1530","40.0"
"499","L47677","L","297.4","309","1505","39.2"
"500","L47678","L","297.5","309.1","1611","30.2"
"501","L47679","L","297.5","309.1","1515","35.1"
"502","M15360","M","297.5","309.2","1804","27.4"
"503","M15361","M","297.6","309.3","1464","46.2"
"504","L47682","L","297.6","309.2","1390","43.3"
"505","M15363","M","297.6","309.2","1442","48.1"
"506","M15364","M","297.6","309.3","1529","41.9"
"507","L47685","L","297.6","309.3","1610","35.0"
"508","L47686","L","297.6","309.3","1543","34.3"
"509","H29921","H","297.8","309.4","1445","48.2"
"510","L47688","L","297.7","309.3","1893","24.6"
"511","M15369","M","297.6","309.3","1415","41.3"
"512","L47690","L","297.5","309.3","1564","37.5"
"513","L47691","L","297.5","309.3","1479","39.4"
"514","L47692","L","297.5","309.2","1426","44.8"
"515","L47693","L","297.4","309.2","1428","38.8"
"516","L47694","L","297.4","309.2","1620","33.2"
"517","L47695","L","297.5","309.2","1715","28.0"
"518","L47696","L","297.5","309.3","1732","29.9"
"519","M15377","M","297.5","309.4","1391","58.2"
"520","L47698","L","297.6","309.5","1924","20.6"
"521","M15379","M","297.7","309.5","2027","19.8"
"522","L47700","L","297.6","309.5","1617","36.2"
"523","L47701","L","297.5","309.4","1497","35.8"
"524","M15382","M","297.5","309.5","1448","43.7"
"525","L47703","L","297.4","309.4","1401","45.9"
"526","L47704","L","297.4","309.4","1620","35.4"
"527","L47705","L","297.4","309.4","1466","45.5"
"528","L47706","L","297.6","309.5","1373","50.6"
"529","M15387","M","297.6","309.6","1592","35.8"
"530","M15388","M","297.5","309.5","1553","42.4"
"531","L47709","L","297.6","309.5","1569","36.2"
"532","M15390","M","297.6","309.5","1709","32.2"
"533","L47711","L","297.6","309.5","1549","34.9"
"534","L47712","L","297.5","309.4","1443","45.4"
"535","L47713","L","297.5","309.3","1675","29.8"
"536","L47714","L","297.5","309.3","1623","33.4"
"537","H29949","H","297.4","309.3","1365","52.4"
"538","L47716","L","297.4","309.3","1759","24.8"
"539","H29951","H","297.4","309.3","1516","43.0"
"540","M15398","M","297.4","309.3","1499","36.8"
"541","M15399","M","297.4","309.3","1775","25.8"
"542","L47720","L","297.4","309.4","1473","45.5"
"543","L47721","L","297.4","309.4","1296","52.3"
"544","L47722","L","297.5","309.4","1803","24.7"
"545","H29957","H","297.5","309.3","1563","36.1"
"546","M15404","M","297.5","309.4","1831","26.6"
"547","L47725","L","297.6","309.4","1958","22.1"
"548","L47726","L","297.5","309.4","1809","24.3"
"549","M15407","M","297.5","309.4","1482","39.3"
"550","L47728","L","297.4","309.3","1332","53.2"
"551","L47729","L","297.4","309.2","1437","40.4"
"552","L47730","L","297.4","309.2","1698","29.4"
"553","L47731","L","297.4","309.2","1274","54.3"
"554","M15412","M","297.4","309.3","1622","35.0"
"555","M15413","M","297.4","309.3","1564","36.0"
"556","H29968","H","297.5","309.4","1368","45.3"
"557","M15415","M","297.4","309.4","1539","42.2"
"558","L47736","L","297.5","309.4","1357","50.1"
"559","M15417","M","297.5","309.4","1433","48.3"
"560","L47738","L","297.5","309.4","1650","34.6"
